"Year"	"P"	"R"	"L"	"G"	"F"	"T"	"Cluster"	"Silhouette"	"Silhouette_neighbor"
2006	0.0327523021650071	0.0331070380253724	0.75614690656702	0.00718180219264818	0.620897224686352	0	"F+"	0.130188002348921	"Unnamed"
2006	0.0581383276096158	0.0934796426623002	0.572066927561696	0	0.612299928950651	0.108987203897864	"F+"	0.213857329187702	"Unnamed"
2006	0.0237814709165323	0.0455987284969445	0.792181215782853	0.0432707993474715	0.479712011510257	0	"Unnamed"	0.108272132138805	"F+"
2006	-0.0486383522073138	-0.0998219473338956	1.01579553304168	-4.16849315068493	0.817592040174943	-0.050974930362117	"Boxplot outlier"	NA	NA
2006	0.0618257852967733	0.0768340456058826	0.529582283894882	0.00659825886249028	0.639515147358856	0.00891069283139768	"F+"	0.289954757094473	"Unnamed"
2006	0.0466835336776691	0.0803477159334997	0.719793864916228	0.00344169845745563	0.505442059004206	0	"F+"	-0.0408296949988112	"Unnamed"
2006	0.143013792095131	-0.0283218466836251	1.03624283184691	-0.218127218127218	0.647266153795358	0	"Boxplot outlier"	NA	NA
2006	0.049012444475372	0.0742187197666177	0.613409415121255	0	0.174664409715388	0.0551602936591173	"Unnamed"	0.509407779178826	"L+ G+"
2006	0.0361501227161167	0.0282331846606715	0.625545404963185	0.024206084832334	0.479467074911558	0	"F+"	-0.0972160706205211	"Unnamed"
2006	0.0596618571302116	0.0217489590833715	0.609468590481249	0.0130126771066368	0.563501499017885	0.0174090571640683	"F+"	0.109061508901334	"Unnamed"
2006	0.0292275574112735	-0.00777432820515008	0.240565280231251	0	0.545769511305616	0	"F+"	0.124351905240443	"Unnamed"
2006	-0.00908272031226543	-0.0184461600442489	0.633163188710404	0.00630337535583571	0.325342465753425	0	"Unnamed"	0.329861618429872	"R- P- L+"
2006	0.0455016141804227	0.0376402053883034	0.744005197864003	0.221151470224858	0.376593536910762	0.00237379332172812	"Unnamed"	0.0907526145887324	"L+ G+"
2006	0.197464651389566	0.124021219121474	0.569965870307167	0.0526315789473684	0.125940792774711	0	"Unnamed"	0.163735593003315	"P+ L-"
2006	0.0831783151740633	0.0667331592892565	0.439277172468775	0.0249537892791128	0.167073170731707	0	"Unnamed"	0.475538316322745	"P+ L-"
2006	0.0116230991868425	0.0197752312337057	0.72946815515842	0.10343077547706	0.283504980584163	0.0182282983216628	"Unnamed"	0.326904491775678	"L+ G+"
2006	0.0603721807735186	0.0420223260669839	0.368922047851814	0.0010859237138591	0.335258598057233	0.204346415828738	"Unnamed"	0.243406289290127	"F+"
2006	0.122161094653689	0.0643487421150208	0.52814219212865	0	0.217625231910946	0.000896057347670251	"Unnamed"	0.421461119061113	"P+ L-"
2006	0.0379980324643384	0.0320578272907773	0.475897688145598	0.0370537731586082	0.210254756530152	0.0754880694143167	"Unnamed"	0.507039765186152	"L+ G+"
2006	0.0286908392635265	0.018268896883614	0.700553484694454	0.00113036925395629	0.279844710449693	0	"Unnamed"	0.41231249692973	"F+"
2006	0.0804030027657053	0.048817282389009	0.592453575661794	0	0.185115558995908	0.00697954271961492	"Unnamed"	0.511397419579875	"L+ G+"
2006	0.125865703101475	0.114058672949942	0.565793435712135	0	0.288774635818338	0	"Unnamed"	0.374322659928117	"F+"
2006	0.112600536193029	0.110906809266994	0.548927613941019	0.0102941176470588	0.0520231213872833	0	"Unnamed"	0.419592806771911	"P+ L-"
2006	0.147651006711409	0.141013092693187	0.0620805369127517	0	0.0416666666666666	0	"P+ L-"	0.234688419612519	"Unnamed"
2006	0.130930438937811	0.265192805531474	0.53894463785924	0.00206855791962175	0.762549450549451	0	"F+"	0.3297520494614	"Unnamed"
2006	0.103117505995204	0.0767050639297239	0.323741007194245	0	0.227454110135674	0	"Unnamed"	0.255409871814595	"P+ L-"
2006	0.0569329660238751	0.0510995748031132	0.413452708907254	0	0.109835247129306	0	"Unnamed"	0.487288491476632	"P+ L-"
2006	0.169430425378515	0.0778820343940421	0.588320115356885	0	0.0584905660377358	0.307038834951456	"Unnamed"	0.177903366212948	"P+ L-"
2006	0.0575757575757576	0.00070980770529185	0.322727272727273	0.00111731843575419	0.513733468972533	0	"F+"	0.0774149072324495	"Unnamed"
2006	NA	NA	NA	NA	NA	NA	"InfNaNNA"	NA	NA
2006	NA	NA	NA	NA	NA	NA	"InfNaNNA"	NA	NA
2006	NA	NA	NA	NA	NA	NA	"InfNaNNA"	NA	NA
2006	0.0724186139404833	0.0839707822264804	0.214619532654284	0.000711526733075828	0.519228791773779	0.0688577382079939	"F+"	0.138385068866489	"Unnamed"
2006	0.088907469342252	0.045881805490926	0.478539576365663	0.441242347319695	0.219562297542862	0.000934454678948071	"L+ G+"	0.276395371189139	"Unnamed"
2006	0.151225155116206	0.11431603499848	0.37774739720265	0.267244582043344	0.10387323943662	0	"P+ L-"	-0.0729698982268509	"Unnamed"
2006	0.044983536703467	0.0638082944937831	0.491332558589967	0	0.373947750362845	0.048804780876494	"Unnamed"	0.308735435960053	"F+"
2006	0.139605734767025	0.082349648843578	0.320071684587814	0.0181159420289855	0.565408038976857	0.00602567461357087	"F+"	0.199159135748589	"P+ L-"
2006	0.0680268002655882	0.0682594878064555	0.644473954246393	0.0854037267080745	0.189784898645658	0	"Unnamed"	0.436632617203167	"L+ G+"
2006	0.0517399590597868	0.0540000690674054	0.360979741653138	0.0107092121079663	0.493991279378922	0.000551998233605652	"F+"	0.0446092398411045	"Unnamed"
